voltage,current,state,pmma_concentration,concentration_label,device_id,cycle_id,voltage_noisy,current_noisy
-2.0,-2.117076687361668e-06,0.0010925251140038955,5.0,5_percent_PMMA,0,0,-2.006506425691218,-1.7679650305548731e-06
-1.9839357429718876,-2.1010042214464777e-06,0.001084230859591128,5.0,5_percent_PMMA,0,0,-1.9888069968095345,-1.904261528735603e-06
-1.9678714859437751,-1.1782650781900794e-06,0.0006080479732081212,5.0,5_percent_PMMA,0,0,-1.9737954251861638,-7.306684681762134e-07
-1.9518072289156627,-1.5680898643392083e-06,0.0008092184699934198,5.0,5_percent_PMMA,0,0,-1.960447136612461,-1.2505039634982235e-06
-1.9357429718875503,-2.1704801648550262e-06,0.001120084172532543,5.0,5_percent_PMMA,0,0,-1.935257755608102,-1.6457038071953587e-06
-1.9196787148594376,-1.6483986930664552e-06,0.0008506621327499621,5.0,5_percent_PMMA,0,0,-1.927988216023548,-1.916016298846739e-06
-1.9036144578313252,-2.1353233042375563e-06,0.0011019413469167232,5.0,5_percent_PMMA,0,0,-1.9009098895735268,-1.4766262714203935e-06
-1.8875502008032128,-2.120415077588341e-06,0.0010942479024058267,5.0,5_percent_PMMA,0,0,-1.888052581897704,-2.021615275242141e-06
-1.8714859437751004,-1.7505048079920833e-06,0.0009033543642196858,5.0,5_percent_PMMA,0,0,-1.8738754242437645,-7.128743716794505e-07
-1.855421686746988,-2.812061809075887e-06,0.0014511747103385824,5.0,5_percent_PMMA,0,0,-1.8644973233674038,-3.1566557181206707e-06
-1.8393574297188755,-2.701816345975392e-06,0.0013942821386800743,5.0,5_percent_PMMA,0,0,-1.8451251430245588,-1.8338344443927672e-06
-1.823293172690763,-2.1044369373112492e-06,0.0010860023250812024,5.0,5_percent_PMMA,0,0,-1.8157392604325056,-2.0054815455799253e-06
-1.8072289156626506,-2.3136444758298626e-06,0.0011939646352020336,5.0,5_percent_PMMA,0,0,-1.802219743786407,-2.6393534776370867e-06
-1.7911646586345382,-1.6340409923369014e-06,0.0008432527891394868,5.0,5_percent_PMMA,0,0,-1.8009402110825237,-1.8759839093640623e-06
-1.7751004016064258,-2.229112439367031e-06,0.0011503415707543171,5.0,5_percent_PMMA,0,0,-1.7741070785521336,-2.3892860934641914e-06
-1.7590361445783134,-2.465187995245959e-06,0.0012721692188219836,5.0,5_percent_PMMA,0,0,-1.7515222733445954,-2.253105022045001e-06
-1.7429718875502007,-1.0101475030894237e-06,0.000521290287953083,5.0,5_percent_PMMA,0,0,-1.7596659403614143,-7.48729759071674e-07
-1.7269076305220885,-1.8397957807653564e-06,0.0009494332950354657,5.0,5_percent_PMMA,0,0,-1.7214740285982892,-2.126645782734646e-06
-1.7108433734939759,-1.6770792711500139e-06,0.000865462849241478,5.0,5_percent_PMMA,0,0,-1.7174696110834344,-1.6892565672805053e-06
-1.6947791164658634,-2.4071532095725917e-06,0.0012422201568855439,5.0,5_percent_PMMA,0,0,-1.6890731297799317,-1.33601803026666e-06
-1.678714859437751,-1.9509062217003423e-06,0.001006772241647172,5.0,5_percent_PMMA,0,0,-1.6863474510031762,-1.0871346366499868e-06
-1.6626506024096386,-1.6071893075547053e-06,0.0008293958796789113,5.0,5_percent_PMMA,0,0,-1.6806994234162838,-1.3890274727176892e-06
-1.6465863453815262,-2.2220831340926776e-06,0.001146714072236159,5.0,5_percent_PMMA,0,0,-1.6628617697603578,-2.2030813950085776e-06
-1.6305220883534137,-1.4426730791805777e-06,0.000744496682482646,5.0,5_percent_PMMA,0,0,-1.6300412388868,-1.3826574158214472e-06
-1.6144578313253013,-1.914777176284704e-06,0.0009881277165351588,5.0,5_percent_PMMA,0,0,-1.6118606063080865,-1.6080181899194957e-06
-1.5983935742971889,-1.744240449193827e-06,0.0009001216191089004,5.0,5_percent_PMMA,0,0,-1.607436740548233,-2.25563673179303e-06
-1.5823293172690764,-1.8831826233837747e-06,0.000971823232755213,5.0,5_percent_PMMA,0,0,-1.5759433926813027,-2.011870892095447e-06
-1.5662650602409638,-6.401259679864949e-07,0.0003303393307980941,5.0,5_percent_PMMA,0,0,-1.5828802608636534,-1.4744180049252896e-06
-1.5502008032128516,-1.5569494155818185e-06,0.0008034694009486467,5.0,5_percent_PMMA,0,0,-1.5508616011993248,-1.3573378542791789e-06
-1.534136546184739,-2.062992010662689e-06,0.0010646145201509854,5.0,5_percent_PMMA,0,0,-1.5462467081823634,-1.7393940408113184e-06
